0-Producto,1-Unidad,2-Precio Productores,Existencia Inicial,Existencia Actual,5-Precio Ciudad Silvestre,Pedido Total (Unidad),Costo Total,Ingreso Total
EL RENACER DEL CAMPO ( @elrenacerdelcampo),,,,,,,,
[[[[[[[[[[[AGOTADO]]]]]]]]]] betabel baby,Manojo,$10.00,15,15,$14.00,0,$0.00,$0.00
Kale toscano,Manojo,$10.00,30,29,$14.00,1,$10.00,$14.00
Queso Asadero (450gr),Pieza,$90.00,50,48.5,$129.00,1.5,$135.00,$193.50
Quelite,Manojo,$10.00,10,9,$14.00,1,$10.00,$14.00
Quintonil,Manojo,$10.00,10,10,$14.00,0,$0.00,$0.00
Rábano amarillo,Manojo,$10.00,10,9,$14.00,1,$10.00,$14.00
Aguacate,Kilo,$45.00,50,47,$64.00,3,$135.00,$192.00
[[[[[[[[[[[AGOTADO]]]]]]]]]] Arúgula,Manojo,$14.00,20,19,$20.00,1,$14.00,$20.00
Acelga arcoiris,Manojo,$10.00,50,50,$14.00,0,$0.00,$0.00
Algafita,Manojo,$10.00,15,13,$14.00,2,$20.00,$28.00
Brócoli,Pieza,$12.00,100,98,$17.00,2,$24.00,$34.00
Cilantro,Manojo,$10.00,100,99,$14.00,1,$10.00,$14.00
Col verde,Pieza,$12.00,100,100,$17.00,0,$0.00,$0.00
Colinabo morado y verde,Pieza,$12.00,20,20,$17.00,0,$0.00,$0.00
Espinaca,Manojo,$10.00,50,50,$14.00,0,$0.00,$0.00
Hinojo,Manojo,$10.00,30,30,$14.00,0,$0.00,$0.00
Kale rizado verde y morado,Manojo,$10.00,100,99,$14.00,1,$10.00,$14.00
Lechuga mix,Pieza,$10.00,50,48,$14.00,2,$20.00,$28.00
Nopales sin espinas,Pieza,$2.00,200,200,$3.00,0,$0.00,$0.00
Ortiga,Manojo,$10.00,20,20,$14.00,0,$0.00,$0.00
Té de monte,Manojo,$10.00,20,19,$14.00,1,$10.00,$14.00
[[[[[[[[[[[AGOTADO]]]]]]]]]] Tortillas,Docena,$15.00,20,18,$21.00,2,$30.00,$42.00
Sopes,Docena,$20.00,20,19,$29.00,1,$20.00,$29.00
Verdolagas,Manojo,$10.00,30,29,$14.00,1,$10.00,$14.00
[[[[[[[[[[[AGOTADO]]]]]]]]]] Alcachofa grande,Pieza,$25.00,20,20,$36.00,0,$0.00,$0.00
Pollo Libre Pastoreo ( Aprox. 2K),Pieza,$250.00,8,8,$333.00,0,$0.00,$0.00
AGROELITE (FB: @AgroeliteMexico),,,,,,,,
Zarzamora,Domo 200gr,$60.00,30,29,$86.00,1,$60.00,$86.00
BlueBerry,Domo 200gr,$60.00,30,27,$86.00,3,$180.00,$258.00
